,OriginalTweet,Sentiment,text_clean,text_len,token_lens
31,Everyone is panic buying bog roll and hand sanitizer but feminine hygiene products dont seem to be selling very fast in comparison. So you might be free bleeding all over your house but at least your arse will be wiped and your hands will be clean #covid19 #Coronavirus #preppers,Extremely Positive,everyone is panic buying bog roll and hand sanitizer but feminine hygiene products dont seem to be selling very fast in comparison so you might be free bleeding all over your house but at least your arse will be wiped and your hands will be clean covid19 coronavirus preppers,49,59
32,Know of anyone hoarding or selling at high prices Report to the police 2 MALEFACTORS ARRESTED FOR ALLEGEDLY SELLING OVERPRICED THERMAL SCANNERS SOURCE AND PHOTOS Courtesy of NCRPO PIO,Negative,know of anyone hoarding or selling at high prices report to the police 2 malefactors arrested for allegedly selling overpriced thermal scanners source and photos courtesy of ncrpo pio,29,41
33,@ShopprsDrugMart hiking their prices to almost 300% of regular price for toilet paper amid #Covid_19 pandemic is pretty sleazy business if you ask me.,Positive,hiking their prices to almost 300 of regular price for toilet paper amid covid19 pandemic is pretty sleazy business if you ask me,23,31
34,Ya ll the really is the MVP for us students Today they got extra shipments of food so students can stock up to prep for It s good nutritious food too,Positive,ya ll the really is the mvp for us students today they got extra shipments of food so students can stock up to prep for it s good nutritious food too,31,35
35,"Based on a grocery store visit, it seems that Norwegians are dealing with #Covid_19 by stockpiling tomato soup and eggs. Which makes perfect sense, since Norwegians put an egg in their tomato soup.",Positive,based on a grocery store visit it seems that norwegians are dealing with covid19 by stockpiling tomato soup and eggs which makes perfect sense since norwegians put an egg in their tomato soup,33,41
36,"Covid_19 supermarket procedure for seniors ?????
#covid_19 #seniors https://t.co/Rub6qt86gP",Neutral,covid19 supermarket procedure for seniors covid19 seniors,7,13
37,"IMHO Russia's rug pull on oil prices is designed to end the dollar as the global reserve currency. How? Corp debt collapse, led by high yield and fracking, compounded by COVID-19, will mean Fed and US Govt respond with #MMT. Ciao dollar. Alt is collapse. Got #Gold or #Silver yet?",Extremely Negative,imho russias rug pull on oil prices is designed to end the dollar as the global reserve currency how corp debt collapse led by high yield and fracking compounded by covid19 will mean fed and us govt respond with mmt ciao dollar alt is collapse got gold or silver yet,50,60
38,"Food isn't important, just stock up on bog roll instead...
#COVID19 #CoronaVirus https://t.co/TFwfyG7Cye",Positive,food isnt important just stock up on bog roll instead covid19 coronavirus,12,18
39,You know what I hate about this COVID-19 panic buying? Ppl leaving their enclaves &amp; going to ethnic shops &amp; buying out a certain type of food. U know by the type of food sold out the group that did it.,Extremely Negative,you know what i hate about this covid19 panic buying ppl leaving their enclaves amp going to ethnic shops amp buying out a certain type of food u know by the type of food sold out the group that did it,41,47
40,"Despite the government assuring theres no need to hoard supplies, this  supermarket had to endure long lines of shoppers. Supermarket staff says they always ran out of two things: alcohol and eggs. #covid #Covid_19 #COVID19 https://t.co/ORX6y2BOqb",Negative,despite the government assuring theres no need to hoard supplies this supermarket had to endure long lines of shoppers supermarket staff says they always ran out of two things alcohol and eggs covid covid19 covid19,35,46
41,Virus attacks! You need to stock on some food supplies! Meanwhile in America... #coronapocalypse #COVID19 #coronavirus https://t.co/7xIqCFb8em,Negative,virus attacks you need to stock on some food supplies meanwhile in america coronapocalypse covid19 coronavirus,16,25
42,"Empare y3n!  but we for protect wanna body first. Sanitizers prices sky rocketing,  lol???
#CoronaOutbreak #Covid_19 #CoronaVirusUpdate #GhanaWeDey  #CoronaVirusUpdate #CoronaOutbreak #Ghana #JayElectronica https://t.co/WGkIPC9yv5",Extremely Positive,empare y3n but we for protect wanna body first sanitizers prices sky rocketing lol coronaoutbreak covid19 coronavirusupdate ghanawedey coronavirusupdate coronaoutbreak ghana jayelectronica,22,50
43,We dont know when or how #coronavirus will end. We do know that uncertainty should not be preyed upon. https://t.co/unuGILCzJG https://t.co/ha6ubHb0EL,Negative,we dont know when or how coronavirus will end we do know that uncertainty should not be preyed upon,19,24
44,"https://t.co/zuV4t1aKDZ is located in Plano, TX. Oprah Winfrey herself was moved by the work and story behind the food pantry. Please help because nothing is in the  freezers &amp; volunteers have drastically dwindled. Panic buying has many negative effects on the needy. #coronavirus",Negative,is located in plano tx oprah winfrey herself was moved by the work and story behind the food pantry please help because nothing is in the freezers amp volunteers have drastically dwindled panic buying has many negative effects on the needy coronavirus,42,51
45,"Mass hysteria or reasonable preparation? Seen at my local grocery store. Why toilet paper? #covid_19 #coronavirus #masshysteria #hunkerdown @ Fort Collins, Colorado https://t.co/GQ4gyAeKbY",Negative,mass hysteria or reasonable preparation seen at my local grocery store why toilet paper covid19 coronavirus masshysteria hunkerdown fort collins colorado,21,32
46,This was on Thursday evening in Brantford at a local grocery store. No toilet paper or paper towels. Most likely restocked later that night...Still shocking. #coronavirus #COVID19 #coronapocalypse #Ontario #Brantford #news #Notoiletpaper #COVID19 #panicbuying #ToiletPaperPanic https://t.co/OKgO3q8DDy,Negative,this was on thursday evening in brantford at a local grocery store no toilet paper or paper towels most likely restocked later that nightstill shocking coronavirus covid19 coronapocalypse ontario brantford news notoiletpaper covid19 panicbuying toiletpaperpanic,35,59
47,"Don't panic, take Precautions. Follow Indian Namaste to Greet Everyone, Follow Indian Food System &amp; Indian Yoga. Keep Yourself Positive by Keep Immunity power Strong. Many Doctors, researchers doing their best 
Hope Soon Get Vaccination &amp; Globe overcome This.@PMOIndia
#Covid_19 https://t.co/sxdNz4mZYJ",Extremely Positive,dont panic take precautions follow indian namaste to greet everyone follow indian food system amp indian yoga keep yourself positive by keep immunity power strong many doctors researchers doing their best hope soon get vaccination amp globe overcome this covid19,40,49
48,Nobody in the food industry is talking about stock outages or shortages. There will be food in the shops. No need to panic buy. #Covid_19,Extremely Negative,nobody in the food industry is talking about stock outages or shortages there will be food in the shops no need to panic buy covid19,25,30
49,"if people were truly afraid of COVID-19, they wouldn't be packed into every Grocery Store/food wholesaler for hours on end like sardines in a tin can
#covid19Canada #Covid_19 #CoronaOutbreak #COVID19 #FridayThe13th #COVID19toronto",Extremely Positive,if people were truly afraid of covid19 they wouldnt be packed into every grocery storefood wholesaler for hours on end like sardines in a tin can covid19canada covid19 coronaoutbreak covid19 fridaythe13th covid19toronto,32,60
50,@ShopRite @Wegmans Please have designated time hours in the AM where the elderly can purchase food for themselves and seperate themselves from the hoarders and potential dangers of those carrying the virus... This should be done now!  #shoprite #wegmans #,Negative,please have designated time hours in the am where the elderly can purchase food for themselves and seperate themselves from the hoarders and potential dangers of those carrying the virus this should be done now shoprite wegmans,37,45
51,Here are precautions to take whether you shop in-store or online https://t.co/Krqy2PxasI #COVID19 #coronavirus,Neutral,here are precautions to take whether you shop instore or online covid19 coronavirus,13,19
52,In all the covid 19 anxiety - remember food banks- people who rely on them wont be able to stock up for self isolation. The box was empty at local supermarket yesterday.,Negative,in all the covid 19 anxiety remember food banks people who rely on them wont be able to stock up for self isolation the box was empty at local supermarket yesterday,31,35
53,@ShopprsDrugMart has decided that in the face of #Covid_19 that they should raise toilet paper &amp; diaper prices. Good to know corporations are still acting in the best interests of their pocketbooks. https://t.co/aAQ7FtaANP,Extremely Positive,has decided that in the face of covid19 that they should raise toilet paper amp diaper prices good to know corporations are still acting in the best interests of their pocketbooks,31,37
54,"WIth the #coronavirus is here in Michigan, people are preparing and stocking up on food and supplies just in case. Store shelves at several major retailers are empty or nearly empty of tissues, toilet paper and sanitizer wipes. https://t.co/K3aTv7GOJR",Negative,with the coronavirus is here in michigan people are preparing and stocking up on food and supplies just in case store shelves at several major retailers are empty or nearly empty of tissues toilet paper and sanitizer wipes,38,45
55,"and such attacks can seriously damage economy as well as consumer confidence. The later destructive activity is called agrobioterrorism and is subtype of agro-terrorism.
#Covid_19 
#COVID19 
? #???_?????_???

#CoronaFromUSA 
#?????_??_?????? https://t.co/bwnuBeXx7h",Extremely Negative,and such attacks can seriously damage economy as well asconsumer confidencethe later destructive activity is calledagrobioterrorismand is subtype ofagroterrorism covid19 covid19 coronafromusa,22,48
56,"Donnie touts  #CoronaTaxCuts becoz of low oil prices.. @LeoVaradkar watch out! Get tested, Donnie has #coronavirus ! #cnn #msnbc #foxnews #Covid_19 #COVID19",Negative,donnie touts coronataxcuts becoz of low oil prices watch out get tested donnie has coronavirus cnn msnbc foxnews covid19 covid19,20,37
57,Florida Department of Agriculture &amp; Consumer Services activated their Summer BreakSpot website so families can find free meals in Florida for their children that are under 18. Visit https://t.co/Xvu3URBdUK to find a location https://t.co/48UgkF1hiZ #FeedingFloridasChildren,Positive,florida department of agriculture amp consumer services activated their summer breakspot website so families can find free meals in florida for their children that are under 18 visit to find a location feedingfloridaschildren,33,41
58,Weve had questions recently from customers concerned with shopping in public. Beach Automotive would like to remind its customers that we have the ability to complete an entire purchase transaction online WITH home delivery available. #CoronaVirus #Covid19 #WeAreHereToHelp,Positive,weve had questions recently from customers concerned with shopping in public beach automotive would like to remind its customers that we have the ability to complete an entire purchase transaction online with home delivery available coronavirus covid19 weareheretohelp,38,49
59,"I dont understand the run on toilet paper. 

You would think that youd stock up on food first. Without food, you wont need the toilet paper. #coronavirus",Negative,i dont understand the run on toilet paper you would think that youd stock up on food first without food you wont need the toilet paper coronavirus,27,33
60,Imagine what's going to happen to consumer credit w/hundreds of millions of american card holders furloughed with #coronavirus choosing between your credit card bill and the last mask or last 25 lb bag of rice is going to be an easy and reflexive choice for consumers.,Extremely Positive,imagine whats going to happen to consumer credit whundreds of millions of american card holders furloughed with coronavirus choosing between your credit card bill and the last mask or last 25 lb bag of rice is going to be an easy and reflexive choice for consumers,46,57
61,"Is the world collapsing?
a. #StockMarket down
b. Human contacts decreasing
c. #Schools closed
d. #TravelBan
e. Food prices increasing
f. Fighting at several destinations
g. Opportunistics joy
h. Gatherings cancelled

 #CoronavirusPandemic #CoronaOutbreak #Covid_19 #WuhanVirus",Negative,is the world collapsing a stockmarket down b human contacts decreasing c schools closed d travelban e food prices increasing f fighting at several destinations g opportunistics joy h gatherings cancelled coronaviruspandemic coronaoutbreak covid19 wuhanvirus,35,53
62,This is a weird strategy for Coles closing online shopping to force people into stores A sensible retailer would restrict store access amp expand online shop where they can control panic buying amp reduce infection rates,Extremely Negative,this is a weird strategy for coles closing online shopping to force people into stores a sensible retailer would restrict store access amp expand online shop where they can control panic buying amp reduce infection rates,36,39
63,I went to cvs couldnt find any water at all so I went to gelsons and found very little water but guess what the prices for a gallon that usually runs .98cents is $3.99 now ? WTF #AMERICA SERIOUSLY!!!!! #greed #pricegouging #ShameOnYou #Covid_19 https://t.co/7z7TM6xMZ7,Extremely Negative,i went to cvs couldnt find any water at all so i went to gelsons and found very little water but guess what the prices for a gallon that usually runs 98cents is 399 now wtf america seriously greed pricegouging shameonyou covid19,42,58
64,COVID 19 challenge Offset panic buying by donating to a local food bank 1 buys 5 meals,Negative,covid 19 challenge offset panic buying by donating to a local food bank 1 buys 5 meals,17,21
65,Went to the supermarket amp I d like to remind everyone that 19 is a respiratory disease not assitory disease Please stop hoarding the toilet paper Thanks,Positive,went to the supermarket amp i d like to remind everyone that 19 is a respiratory disease not assitory disease please stop hoarding the toilet paper thanks,27,32
66,"Whats this about, Dr. Birx? https://t.co/AMWRDbLDEX",Neutral,whats this about dr birx,5,10
67,"I highly suggest that everyone stock up on a few essentials/non-perishable food items immediately. Whether you believe the impact of the COVID-19 virus is exaggerated is irrelevant.

Stores are rapidly losing their stock. 

It isnt toilet paper anymore.
Its everything.",Negative,i highly suggest that everyone stock up on a few essentialsnonperishable food items immediately whether you believe the impact of the covid19 virus is exaggerated is irrelevant stores are rapidly losing their stock it isnt toilet paper anymore its everything,40,50
68,Lineup at my local grocery store in Toronto this evening 19,Neutral,lineup at my local grocery store in toronto this evening 19,11,13
69,"Question.

Is there any test, or any other way, to figure out if a person has already had &amp; recovered from Coronavirus?

In early Feb, I believe I was exposed to &amp; than contracted Covid-19. I was sick as hell, but am fine now. I want to know, cause if it was, we shouldn't panic!",Extremely Negative,question is there any test or any other way to figure out if a person has already had amp recovered from coronavirus in early feb i believe i was exposed to amp than contracted covid19 i was sick as hell but am fine now i want to know cause if it was we shouldnt panic,55,61
70,Will @Tesco be using bags for their online shopping again so we dont have to chase a tin of beans that rolls down the garden path when they have to leave the delivery outside the front door? ? #coronavirus #COVID?19,Negative,will be using bags for their online shopping again so we dont have to chase a tin of beans that rolls down the garden path when they have to leave the delivery outside the front door coronavirus covid19,38,44
71,"Long line outside a supermarket in #Italy ?? 

#COVID?19 #CoronavirusFrance #CORONAVIRUSENFRANCE #CoronaVirusUpdates #COVID19 #coronavirus #Covid_19 #CoronavirusOutbreak #CoronavirusUSA #koronavirus #?????? #??????_?????? #coronapocalypse #coronavirusEspana #CoronaVirusitaly https://t.co/Nr8QpGextK",Neutral,long line outside a supermarket in italy covid19 coronavirusfrance coronavirusenfrance coronavirusupdates covid19 coronavirus covid19 coronavirusoutbreak coronavirususa koronavirus coronapocalypse coronavirusespana coronavirusitaly,20,57
72,"@phineashead @Bovidiva Not highly scientific or written in the way I would were I doing a 'real' study, but; ""Have you done a massive food shop/panic buy as a result of the ol' Covid-19 pandemonium?"" - poll options simply Y/N &amp; comments left open for ",Extremely Negative,not highly scientific or written in the way i would were i doing a real study but have you done a massive food shoppanic buy as a result of the ol covid19 pandemonium poll options simply yn amp comments left open for,42,51
73,"Im not discounting the danger for some while attending a sporting event, but tell me why its ok for me to continue going to work at a grocery store where thousands of customers come and go on a daily basis carrying an unknown amount of sicknesses or the #coronavirus https://t.co/zNhWEM7K6p",Positive,im not discounting the danger for some while attending a sporting event but tell me why its ok for me to continue going to work at a grocery store where thousands of customers come and go on a daily basis carrying an unknown amount of sicknesses or the coronavirus,49,54
74,"Music for a day when you are trapped by civil panic over the Trump plan to insure anyone with brown skin will die directly or indirectly from #Covid_19 taking poor people of any skin color to the grave because they have no access to food or medical care
https://t.co/jdhX5boclX",Extremely Negative,music for a day when you are trapped by civil panic over the trump plan to insure anyone with brown skin will die directly or indirectly from covid19 taking poor people of any skin color to the grave because they have no access to food or medical care,48,53
75,Vistamalls says supermarket sales to 'balance' #COVID19 impact https://t.co/caE2rT6MhO,Neutral,vistamalls says supermarket sales to balance covid19 impact,8,14
76,"People: we can't go to public events because of COVID-19.

Also people: let's flash-mob every retail store! Minimum 300 people!",Neutral,people we cant go to public events because of covid19 also people lets flashmob every retail store minimum 300 people,20,27
77,"No beans or toilet roll in the supermarket today. 

Can you see my thought process??
#Covid_19 https://t.co/ZzjkrN6LEj",Negative,no beans or toilet roll in the supermarket today can you see my thought process covid19,16,20
78,"Wondering if I should stock up on food and home goods. ? what are yall doing? 
#coronavirus",Neutral,wondering if i should stock up on food and home goods what are yall doing coronavirus,16,20
79,"As COVID-19 hysteria hits a crescendo this week - remember the worst hit will be local bars, restaurants and diners. Get food from them with Uber Eats or Doordash and have them leave it on your porch if youre paranoid but dont let panic take over.",Extremely Negative,as covid19 hysteria hits a crescendo this week remember the worst hit will be local bars restaurants and diners get food from them with uber eats or doordash and have them leave it on your porch if youre paranoid but dont let panic take over,45,57
80,"As a Venezuelan , the post-apocalyptic visuals at my local supermarket do trigger some mad PTSD #DejaVu #EmptyShelves #CoronavirusPandemic #Covid_19 https://t.co/zQVY5DCYEl",Extremely Negative,as a venezuelan the postapocalyptic visuals at my local supermarket do trigger some mad ptsd dejavu emptyshelves coronaviruspandemic covid19,19,37
81,"When I went to the grocery store earlier, I expected the toilet paper aisle to be barren, but the water aisle?!? Why? Nobody needs a pallet or gross of anything. Just use common sense people. #Covid_19 #coronavirus",Extremely Negative,when i went to the grocery store earlier i expected the toilet paper aisle to be barren but the water aisle why nobody needs a pallet or gross of anything just use common sense people covid19 coronavirus,37,43
82,LA friends if we are placed on lockdown in the next 72 hours or so don t panic We all really do need to stay inside and isolate to stop the spread of covid 19 and not overwhelm our healthcare system Make sure you have at least a week of food and medicine at home and stay calm,Positive,la friends if we are placed on lockdown in the next 72 hours or so don t panic we all really do need to stay inside and isolate to stop the spread of covid 19 and not overwhelm our healthcare system make sure you have at least a week of food and medicine at home and stay calm,58,64
83,"How to survive the Wuhan Virus: 1.) Stock up on months worth of toilet-paper, paper towels, medical gloves, medical supplies, food and water. 2.) Cut off all contact with boomers. 3.) Become OCD about washing your hands. 4.) Quit your job and become an agoraphobe. 5.) #Covid_19 https://t.co/wIP5Y4jPiE",Negative,how to survive the wuhan virus 1 stock up on months worth of toiletpaper paper towels medical gloves medical supplies food and water 2 cut off all contact with boomers 3 become ocd about washing your hands 4 quit your job and become an agoraphobe 5 covid19,47,57
84,Everybody is being so extra about the Corona Virus. My supermarket was so packed the line went all the way down to the back aisle. Wash your hands. It's not the apocalypse. #Covid_19,Neutral,everybody is being so extra about the corona virus my supermarket was so packed the line went all the way down to the back aisle wash your hands its not the apocalypse covid19,33,37
85,"Me: Did you go to the grocery store just to buy apple pie and ice cream?
Dad: No.
Me: Are you certain?
Dad: No; I didnt. I bought the apple pie and ice cream so it didnt look like I bought just fruit.

#shittheoldmansays #movingarijobena #COVID2019",Positive,me did you go to the grocery store just to buy apple pie and ice cream dad no me are you certain dad no i didnt i bought the apple pie and ice cream so it didnt look like i bought just fruit shittheoldmansays movingarijobena covid2019,46,61
86,"With all the panic and drop off in the market, Ive yet to see a decline in sales for my own E-com brand...

(other than inventory problems when China was on lockdown)

Curious to see how COVID-19 will effect sales in online shopping moving forward?",Extremely Negative,with all the panic and drop off in the market ive yet to see a decline in sales for my own ecom brand other than inventory problems when china was on lockdown curious to see how covid19 will effect sales in online shopping moving forward,45,52
87,"Maybe #coronavirus will finally convince us that in addition to shopping online, we can also do school/work/church online and simultaneously save the planet with a sudden massive reduction in pollution #GreenNewDeal and prove the need for #NetNeutrality",Extremely Positive,maybe coronavirus will finally convince us that in addition to shopping online we can also do schoolworkchurch online and simultaneously save the planet with a sudden massive reduction in pollution greennewdeal and prove the need for netneutrality,37,49
88,People on Facebook posting photos of empty shelves and complaining that there is no pasta or milk. Then in the same posted stating they only thats all they came in for. Your the problem. #StopPanicBuying #coronavirus,Extremely Negative,people on facebook posting photos of empty shelves and complaining that there is no pasta or milk then in the same posted stating they only thats all they came in for your the problem stoppanicbuying coronavirus,36,44
89,"Is #coronavirus affecting you at this point? 

We are headed out to stock up on some food and toilet paper as we head into the school closure. 

Please stay safe, and healthy.? https://t.co/7lIRgRcOcn",Extremely Positive,is coronavirus affecting you at this point we are headed out to stock up on some food and toilet paper as we head into the school closure please stay safe and healthy,32,35
